,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_5,utilization_rate_5,delivery_rate_5,num_risks_5,unique_id_5,seed_5,requests_per_hour_5,execution_time_5,num_delivered_6,utilization_rate_6,delivery_rate_6,num_risks_6,unique_id_6,seed_6,requests_per_hour_6,execution_time_6,num_delivered_7,utilization_rate_7,delivery_rate_7,num_risks_7,unique_id_7,seed_7,requests_per_hour_7,execution_time_7,num_delivered_8,utilization_rate_8,delivery_rate_8,num_risks_8,unique_id_8,seed_8,requests_per_hour_8,execution_time_8,num_delivered_9,utilization_rate_9,delivery_rate_9,num_risks_9,unique_id_9,seed_9,requests_per_hour_9,execution_time_9,sequential_execution_time,execution_time
10,109,10.9,5,0,11,14,10,14,11,14,12,14,10,14,11,14,0,0,0.34159999999999996,0.949572658201429,17.75147035273016,0,0,0,0,0,0,13.16,17.740000000000002,0.9697874228395061,0.35479999999999995,1.5304901175767194,0.21999999999999978,0.006738254879359063,0.004400000000000004,10,17.6,0.9633140432098765,0.352,14.0,100.0,502805748326.0,50.0,202.88354539871216,17.6,0.9666898148148148,0.352,14.4,101.0,156299688289.0,50.0,188.15066504478455,17.8,0.9674112654320988,0.356,13.0,102.0,469100661221.0,50.0,185.30885434150696,17.4,0.9655478395061728,0.348,14.2,103.0,733295057794.0,50.0,200.27604699134827,17.8,0.9633179012345678,0.356,9.6,104.0,717263017026.0,50.0,209.13482427597046,18.0,0.9816628086419753,0.36,15.2,105.0,523021122055.0,50.0,161.33414936065674,17.8,0.9757021604938272,0.356,12.2,106.0,441149503103.0,50.0,166.71450424194336,17.6,0.9807021604938271,0.352,13.4,107.0,903894823209.0,50.0,165.78384590148926,18.2,0.9702006172839505,0.364,11.8,108.0,606618061344.0,50.0,178.14519715309143,17.6,0.9633256172839507,0.352,13.8,109.0,366783982512.0,50.0,203.5163037776947,1861.2479364871979,209.15839457511902
11,83,8.3,5,0,9,10,11,14,9,12,12,14,11,14,12,14,12,13,0.25074014925465493,0.923880190667784,13.984183094902757,0,0,0,0,0,0,9.44,13.139999999999997,0.9559332010582011,0.26280000000000003,1.514727698300919,0.2009975124224175,0.010684336796805695,0.00401995024844836,10,13.6,0.9796097883597883,0.272,11.6,110.0,502805748326.0,50.0,200.39288473129272,12.8,0.9407936507936506,0.256,10.4,111.0,156299688289.0,50.0,298.17452669143677,13.2,0.9486309523809524,0.264,7.2,112.0,469100661221.0,50.0,275.54128098487854,13.0,0.9588227513227512,0.26,9.6,113.0,733295057794.0,50.0,253.28102087974548,13.2,0.9519510582010582,0.264,10.4,114.0,717263017026.0,50.0,276.2825882434845,13.2,0.9548412698412699,0.264,10.0,115.0,523021122055.0,50.0,253.7106592655182,13.0,0.9577777777777777,0.26,7.0,116.0,441149503103.0,50.0,249.8354275226593,13.2,0.9678505291005292,0.264,11.0,117.0,903894823209.0,50.0,227.60964679718018,13.2,0.9542989417989417,0.264,7.8,118.0,606618061344.0,50.0,277.61664056777954,13.0,0.944755291005291,0.26,9.4,119.0,366783982512.0,50.0,287.686936378479,2600.131612062454,298.1894779205322
12,56,5.6,5,1,10,11,10,12,10,12,11,13,11,13,9,13,0,0,0.19200000000000003,0.9269284407123094,8.996035713969373,0,0,0,0,0,0,6.980000000000001,10.2,0.9574351851851851,0.20400000000000001,0.6720119046564574,0.2,0.01016891482429191,0.003999999999999992,10,10.2,0.9713657407407407,0.204,7.8,120.0,502805748326.0,50.0,217.11544513702393,10.0,0.9354861111111109,0.2,6.0,121.0,156299688289.0,50.0,288.6617000102997,10.0,0.9443171296296295,0.2,6.6,122.0,469100661221.0,50.0,269.0939829349518,10.2,0.9646643518518516,0.204,7.2,123.0,733295057794.0,50.0,218.23042941093445,10.4,0.9653009259259258,0.208,6.6,124.0,717263017026.0,50.0,232.66126155853271,10.2,0.9605439814814813,0.204,6.4,125.0,523021122055.0,50.0,224.39976239204407,10.4,0.9581249999999999,0.208,8.2,126.0,441149503103.0,50.0,223.55485081672668,10.0,0.9645138888888888,0.2,6.4,127.0,903894823209.0,50.0,217.2256109714508,10.6,0.9548032407407407,0.212,7.6,128.0,606618061344.0,50.0,243.92756390571594,10.0,0.9552314814814814,0.2,7.0,129.0,366783982512.0,50.0,237.228018283844,2372.098625421524,288.6913323402405
13,154,15.4,5,1,10,13,9,11,9,12,9,11,10,13,11,14,10,12,0.34526687370800097,0.9466103911492878,17.304970588122213,0,0,0,0,0,0,13.48,17.8,0.9693637566137566,0.356,1.274990196040738,0.17888543819998332,0.007584455154822955,0.003577708763999667,10,18.0,0.9818783068783068,0.36,14.2,130.0,502805748326.0,50.0,186.90785312652588,17.8,0.9738029100529099,0.356,12.0,131.0,156299688289.0,50.0,212.52698922157288,17.8,0.9649669312169313,0.356,13.4,132.0,469100661221.0,50.0,232.95427346229553,17.8,0.9796759259259259,0.356,12.8,133.0,733295057794.0,50.0,186.78366589546204,17.8,0.9589550264550264,0.356,13.0,134.0,717263017026.0,50.0,248.0616853237152,18.0,0.9749801587301586,0.36,15.2,135.0,523021122055.0,50.0,202.8858494758606,17.4,0.9643253968253969,0.348,16.2,136.0,441149503103.0,50.0,246.73807954788208,17.6,0.9699404761904761,0.352,12.6,137.0,903894823209.0,50.0,220.3777995109558,18.0,0.9652910052910052,0.36,13.2,138.0,606618061344.0,50.0,224.4769423007965,17.8,0.9598214285714285,0.356,12.2,139.0,366783982512.0,50.0,245.13386917114258,2206.847007036209,248.09523606300354
14,59,5.9,5,1,9,13,11,12,12,13,12,14,12,14,12,14,12,14,0.2085507894955545,0.915061699920714,10.928410710518797,0,0,0,0,0,0,7.5,11.139999999999999,0.9528432539682538,0.22280000000000003,1.142803570172932,0.23748684174075804,0.012593851349179952,0.004749736834815172,10,10.8,0.9462301587301585,0.216,9.2,0.0,502805748326.0,50.0,273.0389289855957,11.2,0.9738095238095238,0.224,9.0,1.0,156299688289.0,50.0,219.20856833457947,11.4,0.9589484126984126,0.228,6.8,2.0,469100661221.0,50.0,251.16450595855713,11.0,0.9664781746031743,0.22,8.2,3.0,733295057794.0,50.0,230.17093658447266,11.0,0.9324603174603172,0.22,8.4,4.0,717263017026.0,50.0,283.865736246109,11.2,0.9671924603174603,0.224,7.8,5.0,523021122055.0,50.0,224.58870482444763,11.2,0.9469146825396824,0.224,7.2,6.0,441149503103.0,50.0,236.60045981407166,10.8,0.9393650793650793,0.216,6.0,7.0,903894823209.0,50.0,288.0689525604248,11.6,0.9499206349206348,0.232,6.6,8.0,606618061344.0,50.0,224.69843697547913,11.2,0.947113095238095,0.224,5.8,9.0,366783982512.0,50.0,265.50502371788025,2496.9102540016174,0.003515005111694336
15,59,5.9,5,1,9,13,11,12,12,13,12,14,12,14,12,14,12,14,0.2085507894955545,0.915061699920714,10.928410710518797,0,0,0,0,0,0,7.5,11.139999999999999,0.9528432539682538,0.22280000000000003,1.142803570172932,0.23748684174075804,0.012593851349179952,0.004749736834815172,10,10.8,0.9462301587301585,0.216,9.2,0.0,502805748326.0,50.0,273.0389289855957,11.2,0.9738095238095238,0.224,9.0,1.0,156299688289.0,50.0,219.20856833457947,11.4,0.9589484126984126,0.228,6.8,2.0,469100661221.0,50.0,251.16450595855713,11.0,0.9664781746031743,0.22,8.2,3.0,733295057794.0,50.0,230.17093658447266,11.0,0.9324603174603172,0.22,8.4,4.0,717263017026.0,50.0,283.865736246109,11.2,0.9671924603174603,0.224,7.8,5.0,523021122055.0,50.0,224.58870482444763,11.2,0.9469146825396824,0.224,7.2,6.0,441149503103.0,50.0,236.60045981407166,10.8,0.9393650793650793,0.216,6.0,7.0,903894823209.0,50.0,288.0689525604248,11.6,0.9499206349206348,0.232,6.6,8.0,606618061344.0,50.0,224.69843697547913,11.2,0.947113095238095,0.224,5.8,9.0,366783982512.0,50.0,265.50502371788025,2496.9102540016174,0.0025475025177001953
16,82,8.2,5,1,9,10,10,13,9,10,11,12,10,11,12,14,9,13,0.2064654152846804,0.8872278070768252,9.796636278440603,0,0,0,0,0,0,7.42,11.3,0.9417810846560846,0.22600000000000003,0.7922120928135343,0.3255764119219943,0.0181844258597531,0.006511528238439878,10,11.0,0.9281613756613755,0.22,8.0,140.0,502805748326.0,50.0,317.94957756996155,11.2,0.9462268518518516,0.224,5.8,141.0,156299688289.0,50.0,260.19741344451904,11.8,0.967169312169312,0.236,6.6,142.0,469100661221.0,50.0,233.92309474945068,11.0,0.9522089947089948,0.22,8.0,143.0,733295057794.0,50.0,266.1461091041565,11.4,0.9290079365079364,0.228,8.0,144.0,717263017026.0,50.0,282.1588628292084,11.2,0.9371130952380952,0.224,7.6,145.0,523021122055.0,50.0,269.95699429512024,11.2,0.946676587301587,0.224,7.8,146.0,441149503103.0,50.0,283.671138048172,11.2,0.9381117724867724,0.224,7.8,147.0,903894823209.0,50.0,274.9965434074402,12.0,0.96875,0.24,6.4,148.0,606618061344.0,50.0,222.37049841880798,11.0,0.9043849206349205,0.22,8.2,149.0,366783982512.0,50.0,338.264612197876,2749.6348440647125,338.2933075428009
17,190,19.0,5,1,10,11,11,14,9,12,12,14,11,14,12,14,0,0,0.2760000000000001,0.9253354497420118,14.489116128180461,0,0,0,0,0,0,10.36,14.040000000000001,0.9503695987654321,0.2808,1.3763720427268205,0.07999999999999971,0.008344716341140111,0.0015999999999999793,10,14.0,0.9534953703703702,0.28,12.6,150.0,502805748326.0,50.0,217.06388926506042,14.0,0.9547453703703703,0.28,8.6,151.0,156299688289.0,50.0,224.85538268089294,14.0,0.94375,0.28,9.4,152.0,469100661221.0,50.0,236.9631986618042,14.0,0.9568595679012345,0.28,12.0,153.0,733295057794.0,50.0,206.73693656921387,14.0,0.9483179012345678,0.28,11.0,154.0,717263017026.0,50.0,242.97662234306335,14.0,0.9414043209876543,0.28,9.2,155.0,523021122055.0,50.0,244.15460538864136,14.0,0.9444598765432098,0.28,9.0,156.0,441149503103.0,50.0,231.52407479286194,14.0,0.9546141975308641,0.28,9.2,157.0,903894823209.0,50.0,205.93645644187927,14.2,0.9383641975308642,0.284,10.8,158.0,606618061344.0,50.0,240.2424190044403,14.2,0.9676851851851852,0.284,11.8,159.0,366783982512.0,50.0,188.45086145401,2238.9044466018677,244.1995189189911
18,15,1.5,5,1,12,13,9,10,9,12,9,12,11,13,9,12,9,11,0.10690441730587616,0.9206729828338476,8.122430123549659,0,0,0,0,0,0,4.5,6.76,0.9472777777777776,0.1352,1.2074767078498863,0.4715930449020637,0.008868264981310011,0.009431860898041275,10,6.4,0.9469907407407405,0.128,4.6,160.0,502805748326.0,50.0,381.37485671043396,6.4,0.9444841269841268,0.128,5.8,161.0,156299688289.0,50.0,395.44581937789917,6.8,0.9631878306878308,0.136,5.2,162.0,469100661221.0,50.0,306.8604574203491,6.4,0.9586177248677247,0.128,4.6,163.0,733295057794.0,50.0,309.6863806247711,7.4,0.946792328042328,0.148,2.6,164.0,717263017026.0,50.0,324.2775046825409,7.0,0.9546693121693121,0.14,7.0,165.0,523021122055.0,50.0,340.8399250507355,6.6,0.9431812169312168,0.132,4.2,166.0,441149503103.0,50.0,354.9409565925598,6.4,0.9398214285714285,0.128,3.8,167.0,903894823209.0,50.0,386.9496822357178,7.8,0.9312301587301588,0.156,4.0,168.0,606618061344.0,50.0,361.67470717430115,6.4,0.94380291005291,0.128,3.2,169.0,366783982512.0,50.0,367.28273272514343,3529.333022594452,395.9723973274231
19,185,18.5,5,1,9,12,10,11,9,11,9,11,10,14,10,11,11,14,0.436,0.9389917438184302,21.777113801369318,11,14,9,12,0,0,16.720000000000002,22.04,0.9525931069958847,0.4408,1.6857046004564384,0.07999999999999971,0.004533787725818158,0.0016000000000000014,10,22.0,0.9545293209876543,0.44,17.6,170.0,502805748326.0,50.0,295.4502863883972,22.0,0.9579578189300411,0.44,17.2,171.0,156299688289.0,50.0,270.0169403553009,22.0,0.9584696502057611,0.44,19.6,172.0,469100661221.0,50.0,291.88858103752136,22.0,0.9494418724279835,0.44,15.8,173.0,733295057794.0,50.0,309.69964146614075,22.2,0.9526260288065842,0.444,14.2,174.0,717263017026.0,50.0,270.34764194488525,22.0,0.9465689300411522,0.44,17.6,175.0,523021122055.0,50.0,313.3940980434418,22.0,0.9453960905349794,0.44,15.4,176.0,441149503103.0,50.0,304.8456275463104,22.0,0.9585956790123455,0.44,16.0,177.0,903894823209.0,50.0,278.5614140033722,22.2,0.9516229423868311,0.444,14.8,178.0,606618061344.0,50.0,289.7145640850067,22.0,0.9507227366255145,0.44,19.0,179.0,366783982512.0,50.0,294.36815571784973,2918.2869505882263,313.4416742324829
